date,total,Holidays,outbreak
24.9.2007,37,0,0
25.9.2007,25,0,0
26.9.2007,30,0,0
27.9.2007,24,0,0
28.9.2007,28,0,0
29.9.2007,56,0,0
30.9.2007,61,0,0
1.10.2007,30,0,0
2.10.2007,27,0,0
3.10.2007,25,0,0
4.10.2007,26,0,0
5.10.2007,27,0,0
6.10.2007,60,0,0
7.10.2007,48,0,0
8.10.2007,34,0,0
9.10.2007,37,0,0
10.10.2007,31,0,0
11.10.2007,30,0,0
12.10.2007,30,0,0
13.10.2007,51,0,0
14.10.2007,49,0,0
15.10.2007,30,0,0
16.10.2007,30,0,0
17.10.2007,31,0,0
18.10.2007,25,0,0
19.10.2007,34,0,0
20.10.2007,75,0,0
21.10.2007,69,0,0
22.10.2007,48,0,0
23.10.2007,44,0,0
24.10.2007,58,0,0
25.10.2007,51,0,0
26.10.2007,46,0,0
27.10.2007,84,0,0
28.10.2007,78,0,0
29.10.2007,45,0,0
30.10.2007,36,0,0
31.10.2007,36,0,0
1.11.2007,45,0,0
2.11.2007,57,0,0
3.11.2007,81,0,0
4.11.2007,70,0,0
5.11.2007,52,0,0
6.11.2007,54,0,0
7.11.2007,50,0,0
8.11.2007,49,0,0
9.11.2007,50,0,0
10.11.2007,72,0,0
11.11.2007,74,1,0
12.11.2007,70,1,0
13.11.2007,69,1,0
14.11.2007,76,1,0
15.11.2007,43,0,0
16.11.2007,45,0,0
17.11.2007,78,0,0
18.11.2007,69,0,0
19.11.2007,39,0,0
20.11.2007,43,0,0
21.11.2007,42,0,0
22.11.2007,45,0,0
23.11.2007,49,0,0
24.11.2007,74,0,0
25.11.2007,66,0,0
26.11.2007,39,0,0
27.11.2007,38,0,0
28.11.2007,74,1,0
29.11.2007,76,1,0
30.11.2007,63,0,0
1.12.2007,93,0,0
2.12.2007,88,0,0
3.12.2007,70,0,0
4.12.2007,66,0,0
5.12.2007,58,0,0
6.12.2007,54,0,0
7.12.2007,48,0,0
8.12.2007,87,0,0
9.12.2007,90,0,0
10.12.2007,68,0,0
11.12.2007,61,0,0
12.12.2007,57,0,0
13.12.2007,55,0,0
14.12.2007,60,0,0
15.12.2007,66,0,0
16.12.2007,81,0,0
17.12.2007,73,0,1
18.12.2007,60,0,1
19.12.2007,96,1,1
20.12.2007,93,1,1
21.12.2007,96,1,1
22.12.2007,92,1,1
23.12.2007,89,1,1
24.12.2007,71,0,1
25.12.2007,63,0,1
26.12.2007,65,0,1
27.12.2007,75,0,1
28.12.2007,71,0,1
29.12.2007,127,0,1
30.12.2007,122,0,1
31.12.2007,93,0,1
1.1.2008,150,1,1
2.1.2008,92,0,1
3.1.2008,84,0,1
4.1.2008,88,0,1
5.1.2008,137,0,1
6.1.2008,121,0,1
7.1.2008,78,0,1
8.1.2008,71,0,1
9.1.2008,71,0,1
10.1.2008,76,0,1
11.1.2008,93,0,1
12.1.2008,124,0,1
13.1.2008,119,0,1
14.1.2008,71,0,0
15.1.2008,68,0,0
16.1.2008,71,0,0
17.1.2008,55,0,0
18.1.2008,58,0,0
19.1.2008,98,0,0
20.1.2008,95,0,0
21.1.2008,70,0,0
22.1.2008,57,0,0
23.1.2008,58,0,0
24.1.2008,46,0,0
25.1.2008,49,0,0
26.1.2008,82,0,0
27.1.2008,77,0,0
28.1.2008,54,0,0
29.1.2008,39,0,0
30.1.2008,40,0,0
31.1.2008,36,0,0
1.2.2008,50,0,0
2.2.2008,83,0,0
3.2.2008,76,0,0
4.2.2008,50,0,0
5.2.2008,44,0,0
6.2.2008,46,0,0
7.2.2008,41,0,0
8.2.2008,51,0,0
9.2.2008,72,0,0
10.2.2008,66,0,0
11.2.2008,46,0,0
12.2.2008,45,0,0
13.2.2008,46,0,0
14.2.2008,40,0,0
15.2.2008,43,0,0
16.2.2008,74,0,0
17.2.2008,68,0,0
18.2.2008,55,0,0
19.2.2008,44,0,0
